Year,PoliticalParty,Category,Number,Plan
2015,PP Madrid,Menos impuestos para acelerar el crecimiento,11,"Modularemos la fijación de las tasas autonómicas a la capacidad económica de las personas que deben satisfacerlas, siempre que lo permitan las características del tributo."
2015,PP Madrid,Menos impuestos para acelerar el crecimiento,12,Reforzaremos la lucha contra el fraude fiscal y el control en la concesión de subvenciones.
2015,PP Madrid,Menos impuestos para acelerar el crecimiento,13,"Revisaremos aquellos impuestos y tasas que más distorsionan el tráfico mercantil y la capacidad de inversión y creación de empleo de la economía española, tanto en el ámbito municipal como en el autonómico."
2015,PP Madrid,Más y mejor empleo,14,"Desarrollaremos políticas activas de empleo, en colaboración con el Ministerio de Empleo y Seguridad Social, basadas en el impulso del empleo estable y de calidad, que apuesten por la formación como elemento para la mejora de la empleabilidad, la conciliación del trabajo con la vida personal y familiar y la seguridad y salud en el trabajo."
2015,PP Madrid,Más y mejor empleo,15,Potenciaremos la formación profesional tanto para los desempleados como para los ocupados. La formación irá orientada a adaptar las capacidades de los trabajadores a las necesidades reales del mercado de trabajo.
2015,PP Madrid,Más y mejor empleo,16,"Colaboraremos con la Administración General del Estado en la implantación de un nuevo modelo de formación para el empleo que sea garantía frente a las malas prácticas en este ámbito, regido por los principios de transparencia y libre concurrencia y sujeto a una evaluación permanente de los resultados. Garantizaremos que cada euro destinado a la formación para el empleo tenga un impacto real en la empleabilidad de los trabajadores y en la mejora de sus oportunidades."
2015,PP Madrid,Más y mejor empleo,17,"Promocionaremos el Plan de Garantía Juvenil, para animar a los jóvenes menores de 25 años que no estudian ni trabajan a inscribirse al Plan, con el objetivo de que puedan recibir una oferta de empleo, educación continua, formación de aprendiz o período de prácticas en una empresa, y así labrarse un futuro."
2015,PP Madrid,Más y mejor empleo,18,"Extenderemos los proyectos de Formación Dual en colaboración con las empresas, con la finalidad de que los jóvenes puedan adquirir experiencias de utilidad para el empleo."
2015,PP Madrid,Más y mejor empleo,19,"Reforzaremos las medidas para la asistencia e integración laboral de los parados de larga duración, de los parados mayores y de aquellos trabajadores menos cualificados. Encontrarán asesoramiento en las oficinas de empleo y se pondrán los medios pertinentes para que encuentren nuevas oportunidades de trabajo."
2015,PP Madrid,Más y mejor empleo,20,"Reforzaremos la atención individualizada en los servicios públicos de empleo, para ofrecerles la mejor opción laboral posible conforme a sus preferencias, su situación personal y cualificación profesional y así guiarles en su integración al mercado laboral. En la medida de lo posible, promoveremos la implantación de un modelo de orientador/tutor, responsable de la trayectoria de cada demandante."
2015,PP Madrid,Más y mejor empleo,21,"Trabajaremos desde las comunidades autónomas con el Ministerio de Empleo y Seguridad Social en la elaboración de protocolos comunes de prestación de servicios a las personas desempleadas, que faciliten unos estándares de calidad homogéneos."
2015,PP Madrid,Más y mejor empleo,22,"Favoreceremos la concurrencia de entidades acreditadas de formación y los contratos con agencias de colocación, ajustados al acuerdo marco de colaboración público-privada en esta materia, al objeto de mejorar la empleabilidad de las personas que buscan empleo además del proceso de intermediación, acortando así los plazos para su reinserción en el mercado laboral."
2015,PP Madrid,Más y mejor empleo,23,"Promoveremos una mejor y más sencilla aplicación de la legislación en materia de seguridad y salud en el trabajo, especialmente en las pequeñas y medianas empresas. Favoreceremos la mejora continua de las condiciones de trabajo respecto de todos los trabajadores por igual, con especial atención a la prevención de los accidentes de trabajo y de las enfermedades profesionales."
2015,PP Madrid,Más y mejor empleo,24,Fomentaremos la contratación indefinida mediante incentivos para promover la creación de empleo estable y de calidad.
2015,PP Madrid,Más y mejor empleo,25,"Reforzaremos el contacto con el tejido productivo para conocer sus inquietudes y necesidades, contribuir a la certidumbre en sus planes de inversión y contratación y, con ello, favorecer la estabilidad en el empleo."
2015,PP Madrid,Más y mejor empleo,26,"La lucha contra el empleo irregular y el fraude a la Seguridad Social será uno de nuestros principales objetivos, siempre en beneficio de los trabajadores y de su derecho a un trabajo digno. Incrementaremos la colaboración interadministrativa e impulsaremos campañas de sensibilización acerca de su impacto en el bienestar general."
2015,PP Madrid,Un nuevo impulso al emprendimiento,27,"Colaboraremos con el Estado para hacer realidad el principio de unidad de mercado que consagra la Constitución. Removeremos los obstáculos que todavía puedan quedar a la libertad de circulación de bienes, servicios y personas en España."
2015,PP Madrid,Un nuevo impulso al emprendimiento,28,"Seguiremos apoyando e impulsando un sector financiero moderno, eficiente y bien capitalizado, capaz de apoyar el crecimiento en condiciones internacionalmente competitivas."
2015,PP Madrid,Un nuevo impulso al emprendimiento,29,Continuaremos impulsando nuevos instrumentos de financiación que permitan a los emprendedores llevar a cabo sus proyectos.
2015,PP Madrid,Un nuevo impulso al emprendimiento,30,"Pondremos en marcha apoyos al inicio de una actividad por cuenta propia, que ayuden a cubrir los primeros gastos inherentes al establecimiento de una actividad y complemente los incentivos y estímulos establecidos por el Gobierno de España en el ámbito fiscal y de cotización a la Seguridad Social."
2015,PP Madrid,Un nuevo impulso al emprendimiento,31,"Reduciremos las cargas administrativas y regulatorias a las empresas a la hora de cumplimentar sus trámites con la Administración, mejorando la calidad normativa."
2015,PP Madrid,Un nuevo impulso al emprendimiento,32,Promocionaremos la cultura emprendedora con programas destinados a colectivos específicos con el fin de dar respuesta a sus demandas concretas y de propiciar el éxito de sus proyectos empresariales.
2015,PP Madrid,Un nuevo impulso al emprendimiento,33,"Seguiremos impulsando la internacionalización de las medianas y pequeñas empresas españolas, en colaboración con las cámaras de comercio y las organizaciones empresariales."
2015,PP Madrid,Un nuevo impulso al emprendimiento,34,Promoveremos una mayor coordinación entre las políticas de internacionalización empresarial autonómicas y las del Gobierno de la Nación.
2015,PP Madrid,Un nuevo impulso al emprendimiento,35,Completaremos la integración de todas las oficinas comerciales de nuestras comunidades autónomas en las oficinas económicas y comerciales del Estado.
2015,PP Madrid,Un nuevo impulso al emprendimiento,36,"Fomentaremos la innovación y la competitividad del pequeño comercio, apoyaremos nuevas fórmulas de organización comercial e impulsaremos la generalización del uso de nuevas tecnologías en el pequeño comercio."
2015,PP Madrid,Un nuevo impulso al emprendimiento,37,Llevaremos a cabo medidas para prevenir situaciones de dificultades económicas y fomentaremos la segunda oportunidad.
2015,PP Madrid,Un nuevo impulso al emprendimiento,38,"Haremos de la protección y la defensa del consumidor una política transversal a todas las áreas de Gobierno e impulsaremos un consumo racional, saludable y solidario."
2015,PP Madrid,Un nuevo impulso al emprendimiento,39,"Promoveremos un cambio de mentalidad en los ciudadanos, potenciando actitudes responsables y aumentando su sentido crítico en el ámbito del consumo."
2015,PP Madrid,Un nuevo impulso al emprendimiento,40,"Incentivaremos la información y la formación específica de los usuarios en nuevas formas de consumo y en los servicios que generan una mayor conflictividad: sector eléctrico, servicios financieros y telecomunicaciones."
2015,PP Madrid,Un nuevo impulso al emprendimiento,41,"Aumentaremos el diálogo y la colaboración con las asociaciones de usuarios y consumidores, las sociedades científicas y de más interlocutores sociales del ámbito del consumo, incrementando su participación en la elaboración de las políticas y de las estrategias que se implementen."
2015,PP Madrid,Un nuevo impulso al emprendimiento,42,Incrementaremos las inspecciones y reforzaremos el sistema arbitral como medio ágil y eficaz de resolución de controversias.
2015,PP Madrid,Un nuevo impulso al emprendimiento,43,Aprovecharemos todas las ventajas que ofrecen las nuevas tecnologías de la información y la comunicación para desarrollar sistemas integrales de reclamación que aporten eficiencia y rapidez en su registro y tramitación.
2015,PP Madrid,Una política energética para la competitividad,44,"Apoyaremos desde las comunidades autónomas al Gobierno de la Nación en la defensa de una política europea común que concilie los objetivos de sostenibilidad y competitividad. En este sentido, impulsaremos la materialización de un mercado único europeo, acabando así con la situación de “isla energética” que caracteriza a nuestro país."
2015,PP Madrid,Una política energética para la competitividad,45,Incentivaremos la mejora del mallado de la red eléctrica e impulsaremos las conexiones transfronterizas para asegurar un suministro estable y de calidad.
2015,PP Madrid,Una política energética para la competitividad,46,"Continuaremos profundizando en la armonización, en todo el territorio nacional, de los criterios, procedimientos, permisos, tasas e impuestos para la instalación y mejora de los elementos de las infraestructuras energéticas."
2015,PP Madrid,Una política energética para la competitividad,47,Reforzaremos la coordinación de las comunidades autónomas y de la administración del Estado en las políticas de fomento de las energías renovables.
2015,PP Madrid,Una política energética para la competitividad,48,"Fomentaremos la implantación de medidas de ahorro y eficiencia energética para todos los sectores y, en particular en los espacios, edificios e infraestructuras públicos, creando programas específicos de ayuda y de financiación público- privada que permitan acometer las inversiones correspondientes. Impulsaremos la mejora de la eficiencia energética de los edificios existentes mediante programas específicos de ayudas."
2015,PP Madrid,Una política energética para la competitividad,49,"Mejoraremos la información hacia el consumidor para que sea más simple y clara, a través de campañas de comunicación e información, permitiendo así también la posibilidad de comparación."
2015,PP Madrid,Una política energética para la competitividad,50,"Promoveremos planes de apoyo a las actuaciones de movilidad urbana sostenible, con el fin de conseguir cambios en el reparto modal, con una mayor participación de los modos más eficientes. Impulsaremos la instalación de puntos de recarga de vehículos eléctricos."
2015,PP Madrid,Una política energética para la competitividad,51,"Priorizaremos la investigación en áreas como el ahorro energético, las energías limpias, los sistemas de gestión y almacenamiento de energías, la generación distribuida, así como la domótica y electrificación del transporte."
2015,PP Madrid,Una nueva política medioambiental,52,"Continuaremos impulsando políticas de lucha contra el cambio climático que ayuden a nuestras empresas a reducir emisiones, generando, al mismo tiempo, actividad económica y empleo. Contribuiremos, tanto en el seno de la UE como en el ámbito de las relaciones bilaterales, al éxito de la Cumbre del Clima de París en 2015."
2015,PP Madrid,Una nueva política medioambiental,53,"Favoreceremos el paso a una economía baja en carbono, fomentando la eficiencia energética y el uso de energías renovables."
2015,PP Madrid,Una nueva política medioambiental,54,"Impulsaremos la formación y concienciación de la sociedad en materia de cambio climático, desarrollo sostenible y protección del medio ambiente y los recursos naturales."
2015,PP Madrid,Una nueva política medioambiental,55,"Potenciaremos la mejora de la sostenibilidad y la calidad de vida de las ciudades y ciudadanos, incentivando la puesta en marcha de planes estratégicos de desarrollo urbano sostenible."
2015,PP Madrid,Una nueva política medioambiental,56,"Reiteraremos nuestro compromiso con los objetivos europeos y mundiales en materia de defensa del medio ambiente. Promoveremos internacionalmente el compromiso medioambiental de España. Incentivaremos políticas con mayor valor añadido, en el marco de un modelo de desarrollo más sostenible."
2015,PP Madrid,Una nueva política medioambiental,57,"Promoveremos actuaciones para favorecer la reducción de emisiones en los sectores de la agricultura, la vivienda y el transporte."
2015,PP Madrid,Una nueva política medioambiental,58,"Apoyaremos la inversión, tanto pública como privada, en I+D+i y el desarrollo tecnológico, claves para mejorar la eficiencia en el uso de los recursos naturales."
2015,PP Madrid,Una nueva política medioambiental,59,"Pondremos en marcha la Estrategia de Adaptación de la Costa Española a los Efectos del Cambio Climático, con actuaciones a corto, medio y largo plazo para proteger nuestras costas, y hacer frente a la posible subida del nivel del mar y a otros cambios que son consecuencia del calentamiento global."
2015,PP Madrid,Una nueva política medioambiental,60,Favoreceremos una gestión integral del agua que permita mejorar la eficiencia en el uso de este recurso y evitar el deterioro de los recursos hídricos.
2015,PP Madrid,Una nueva política medioambiental,61,"Continuaremos apoyando una política hidrológica nacional consensuada que atienda, entre otros, a los criterios de unidad de cuenca, sostenibilidad medioambiental, prioridad de uso en la propia cuenca con garantía de las necesidades presentes y futuras de la misma, y la solidaridad interterritorial."
2015,PP Madrid,Una nueva política medioambiental,62,Impulsaremos la restauración de suelos contaminados y la prevención y control integrados de la contaminación y la sobrecarga ganadera.
2015,PP Madrid,Una nueva política medioambiental,63,"Preservaremos nuestro patrimonio forestal para contribuir a la lucha contra el cambio climático. Incentivaremos la gestión sostenible de los espacios naturales protegidos, los humedales y los montes; mejoraremos la gestión forestal y haremos más eficiente la prevención y extinción de incendios."
2015,PP Madrid,Una nueva política medioambiental,64,Potenciaremos la regeneración y el aumento de la superficie arbolada por el gran efecto drenaje de CO 2 que tienen los bosques en la disminución de nuestra huella ecológica.
2015,PP Madrid,Una nueva política medioambiental,65,Impulsaremos la conservación de la biodiversidad. Avanzaremos en la protección de nuestro medio natural y gestionaremos adecuadamente nuestra red de espacios protegidos.
2015,PP Madrid,Una nueva política medioambiental,66,"Impulsaremos las medidas oportunas para incrementar la seguridad y preservar nuestras especies de fauna y flora, con especial atención a aquellas que se encuentran en peligro. Favoreceremos que las actividades cinegéticas sean compatibles con la conservación del medio ambiente y el desarrollo rural."
2015,PP Madrid,Una nueva política medioambiental,67,"Impulsaremos la ecoeficiencia mediante el empleo de materiales más limpios y menos productores de residuos, buscando al mismo tiempo su reducción en origen, y el tratamiento de los residuos urbanos. Implantaremos medidas para reducir la generación de residuos agrarios, fomentando su reciclado, valorización y la eliminación con sistemas ambientales adecuados."
2015,PP Madrid,Una nueva política medioambiental,68,"Aseguraremos la correcta aplicación del nuevo marco normativo de calidad ambiental. Reforzaremos la coordinación de los procedimientos aplicables a los distintos regímenes de evaluación, autorización ambiental y control de la contaminación de suelos y de la atmósfera; todo ello con un enfoque de control y prevención integral y de simplificación administrativa."
2015,PP Madrid,Un turismo de calidad,69,"Potenciaremos el turismo como un sector clave de presente y de futuro para las comunidades autónomas, en un clima de diálogo y colaboración con el sector privado, que tenga por objetivos la generación de empleo de calidad, la competitividad y la excelencia de nuestros destinos turísticos."
2015,PP Madrid,Un turismo de calidad,70,"Impulsaremos una mejora de la oferta y una diversificación de la demanda, fomentando el emprendimiento, la formación y la innovación así como la desestacionalización. Incentivaremos la renovación de las infraestructuras turísticas."
2015,PP Madrid,Un turismo de calidad,71,"Promoveremos la prestación de servicios turísticos más avanzados, aportando una oferta diferenciada y atractiva. Continuaremos con el apoyo a los emprendedores, apostando por la innovación de la industria y la creación de destinos turísticos inteligentes."
2015,PP Madrid,Un turismo de calidad,72,Recuperaremos la competitividad de destinos turísticos maduros que durante muchos años han sido modelo de éxito. Impulsaremos las reformas necesarias para reconducir su oferta y evitar que pierdan posición en el mercado turístico global.
2015,PP Madrid,Un turismo de calidad,73,Impulsaremos modelos de reforma y rehabilitación de la oferta turística tanto de alojamiento como complementaria. Ofreceremos apoyo técnico y financiero a los proyectos.
2015,PP Madrid,Un turismo de calidad,74,"Pondremos en valor la enorme diversidad y riqueza de España. Promocionaremos segmentos como el turismo gastronómico y cultural, así como el turismo rural, cinegético, de naturaleza y de interior. Impulsaremos y difundiremos nuestro patrimonio cultural, histórico, de ocio y de servicios."
2015,PP Madrid,Un turismo de calidad,75,Impulsaremos la elaboración de planes de formación para el sector turístico que redunden en la mejora de la calidad del mismo.
2015,PP Madrid,Un turismo de calidad,76,Continuaremos impulsando un entorno más seguro para el turista con más servicios y medidas específicas.
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,77,"Pondremos en marcha la aplicación de las ayudas directas de la nueva PAC, que beneficiará a cerca de 900.000 agricultores y ganaderos, con explotaciones en la práctica totalidad de municipios de España, garantizando así, como media, el treinta por ciento de las rentas de sus explotaciones para los próximos siete años."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,78,"Pondremos en marcha los programas de desarrollo rural autonómicos, con el fin de mejorar las condiciones de vida y trabajo de la población rural, generando así riqueza y empleo. Asimismo, impulsaremos un Programa Nacional de Desarrollo Rural, con actuaciones que añadan valor a las medidas de ámbito regional, como el fomento de la integración cooperativa supra-autonómica o el impulso a la investigación e innovación."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,79,"Favoreceremos el tejido socio-económico del mundo rural impulsando la coordinación de las políticas de desarrollo rural para optimizar el proceso de cohesión económica, social y territorial."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,80,"Promoveremos el desarrollo de un entorno rural con futuro, generador de empleo y riqueza, atractivo para nuestros jóvenes y que respete el medioambiente. Lo haremos de forma integral, poniendo en valor todas sus potencialidades económicas, medioambientales, sociales y culturales."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,81,"Fomentaremos los proyectos e iniciativas de generación o implantación de nuevas estructuras empresariales o de empleo, estimulando la capacidad creativa y emprendedora de los habitantes del mundo rural, prestando especial atención al desarrollo de las zonas menos favorecidas. Apoyaremos la creación y consolidación de microempresas en nuevos sectores de actividad."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,82,"Garantizaremos, con la colaboración de las entidades locales, la mejora de las infraestructuras básicas de equipamientos y servicios en el medio rural. Aseguraremos a las personas su acceso a los servicios públicos en igualdad de condiciones."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,83,"Pondremos en marcha medidas que mejoren la comunicación digital en el medio rural, reduciendo la brecha todavía existente entre pueblos y ciudades."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,84,"Impulsaremos la creación de servicios de cuidado a menores y a mayores en el entorno rural a través del fomento de cooperativas de trabajo asociado que, al mismo tiempo que crean empleo, ofrecen servicios que no existan en la zona."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,85,"Estableceremos medidas que fomenten la permanencia e integración de jóvenes en el medio rural, a través de las ayudas previstas en la PAC, así como con otros apoyos específicos fiscales y financieros."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,86,Reforzaremos el apoyo a las mujeres rurales con la adopción de medidas específicas que incidan especialmente en el reconocimiento de su papel y la atención a sus necesidades.
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,87,"Fomentaremos la formación de las mujeres del medio rural, a través de programas de asesoramiento específico, en la gestión de las explotaciones agrarias y ganaderas, en colaboración con las entidades locales."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,88,"Impulsaremos una política agraria que incluya medidas destinadas a mejorar la rentabilidad de las explotaciones. Particularmente, impulsaremos la modernización, tecnificación e innovación en las explotaciones agrarias. Pondremos en valor ante la sociedad el importante papel que los agricultores y ganaderos desarrollan."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,89,"Continuaremos modernizando los regadíos, con el fin de asegurar las producciones agrarias frente a la sequía y reducir el consumo de agua. Daremos prioridad a la consolidación y fin del proceso de modernización de los regadíos existentes, que fomenten un uso eficiente y racional del agua y que mejoren la competitividad del sector. Impulsaremos las energías alternativas para las comunidades de regantes."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,90,"Mejoraremos las medidas dirigidas a reforzar la calidad, a través de las garantías de seguridad alimentaria, y la sanidad animal y vegetal que se verán acompañadas de campañas de sensibilización social sobre seguridad alimentaria y de productos, así como consumo responsable."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,91,Impulsaremos la integración asociativa con el objetivo de aumentar la dimensión de las cooperativas y otras entidades asociativas agrarias para así abordar nuevos retos comerciales y una mejor posición en el mercado.
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,92,"Mejoraremos la competitividad de las industrias agroalimentarias mediante la formación, cualificación y especialización de empleados, gestores y comerciales. Promoveremos programas de investigación y desarrollo específicamente diseñados para mejorar la competitividad de las pymes agroalimentarias a través de la innovación."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,93,"Desarrollaremos estrategias de mejora del funcionamiento de la cadena alimentaria, en desarrollo de la nueva normativa para incrementar la transparencia, mejorar la vertebración sectorial, fomentando la competitividad."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,94,"Mejoraremos los canales de comercialización, en particular mediante el impulso de las líneas estratégicas para la internacionalización de las actividades empresariales en el sector agroalimentarios."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,95,"Promoveremos una política forestal eficiente, a través del desarrollo del Plan de Activación Socioeconómica del Sector Forestal, para mejorar la rentabilidad de este sector y su contribución a la riqueza y al empleo."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,96,Continuaremos reforzando las medidas de prevención y extinción de incendios forestales a través de la mejora de los medios técnicos y el despliegue de los medios humanos necesarios.
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,97,"Reforzaremos la regulación contra los hurtos y robos en el campo. Impulsaremos y mejoraremos las acciones formativas en temas de seguridad, focalizadas en los problemas propios del campo."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,98,Desarrollaremos aplicaciones tecnológicas que permitan a los habitantes de zonas aisladas del medio rural y particularmente a los agricultores ponerse en contacto con las fuerzas y cuerpos de seguridad para comunicar de forma inmediata cualquier tipo de información o delito.
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,99,"Potenciaremos una investigación científica de calidad, que permita una adecuada gestión pesquera y la mejor defensa de la flota española. Impulsaremos la diversificación e innovación pesquera."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,100,"Con la colaboración del Instituto de la Mujer, promoveremos la igualdad de las mujeres y los hombres que trabajan en el sector pesquero."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,101,"Estableceremos un sistema de coordinación ágil para la aplicación de medidas de ajuste de flota a los recursos disponibles, como son las paradas temporales o definitivas de flota."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,102,"Promoveremos, en aquellas pesquerías que así lo demanden, una gestión sectorial de las posibilidades de pesca, bien a título individual o colectivo."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,103,"Potenciaremos la colaboración institucional para la gestión coordinada de los caladeros nacionales cantábrico-noroeste, Mediterráneo, Golfo de Cádiz y Canarias."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,104,"Apoyaremos a la flota española que realiza su actividad pesquera en aguas internacionales y de terceros países, así como a las sociedades mixtas que operan fuera de nuestro país."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,105,"Con el objetivo de favorecer la competitividad de la flota pesquera española, crearemos el Registro General de la Flota Pesquera, que incluirá a todos los buques con pabellón español que faenan en aguas exteriores o interiores. Asimismo, promoveremos el segundo Registro de Buques Pesqueros que faenan exclusivamente en aguas exteriores de la UE, dedicados a la pesca de túnidos y especies afines."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,106,"Fomentaremos el desarrollo de la acuicultura continental y marina, impulsando, para ello, la simplificación administrativa y la homogeneización normativa."
2015,PP Madrid,Un mundo rural generador de riqueza y empleo,107,"Implantaremos el Programa de control de la trazabilidad de los productos de la pesca en todas las etapas de la comercialización de los mismos, estableciendo criterios uniformes de control mediante procedimientos normalizados."
2015,PP Madrid,Impulsar la competitividad industrial,108,"Continuaremos promoviendo la adecuada diversificación de nuestro tejido económico, reforzando nuestra competitividad en sectores industriales consolidados y avanzando hacia nuevos modelos de mayor valor añadido."
2015,PP Madrid,Impulsar la competitividad industrial,109,Impulsaremos la colaboración y coordinación entre la Administración General del Estado y las comunidades autónomas en la ejecución de las medidas comprendidas en la Agenda para el Fortalecimiento de Sector Industrial en España para mejorar las condiciones en las que se desarrolla la actividad industrial en España y contribuir a que la industria crezca y sea más competitiva.
2015,PP Madrid,Impulsar la competitividad industrial,110,"Reforzaremos la colaboración estratégica entre el sector público y el privado, descubriendo dónde están los principales obstáculos a la innovación y qué tipo de intervenciones son más adecuados para eliminarlos, facilitando la competitividad y el crecimiento de la productividad."
2015,PP Madrid,Impulsar la competitividad industrial,111,"Aceleraremos la adaptación de la industria a los cambios estructurales, fomentando un entorno favorable a la iniciativa y al desarrollo de las empresas y, en particular, de las pequeñas y medianas."
2015,PP Madrid,Impulsar la competitividad industrial,112,"Promoveremos un mejor aprovechamiento del potencial industrial de las políticas de innovación, de investigación y de desarrollo tecnológico."
2015,PP Madrid,Impulsar la competitividad industrial,113,"Fomentaremos la inversión en nuevas tecnologías y en tecnologías de uso general, para impulsar la “industria 4.0”, es decir, la fábrica inteligente basada en la digitalización y con todos los procesos interconectados por el internet de las cosas."
2015,PP Madrid,Impulsar la competitividad industrial,114,"Reforzaremos el enfoque integrado de la política industrial, contemplando aspectos tanto de carácter horizontal, para instaurar unas condiciones marco que favorezcan la competitividad industrial, como de carácter vertical, centrado más en tecnologías de uso general que en sectores industriales individuales."
2015,PP Madrid,Impulsar la competitividad industrial,115,"Fortaleceremos la integración de la política industrial con otras políticas, en particular las relacionadas con la educación y la formación profesional, el mercado de trabajo, la energía, la fiscalidad, la investigación y desarrollo, las telecomunicaciones, las infraestructuras o la protección del medio ambiente."
2015,PP Madrid,Impulsar la competitividad industrial,116,"Fomentaremos que el modelo formativo responda a las necesidades reales de la industria, en particular, a través de un sistema integrado de formación profesional y continuado, promoviendo la formación dual."
2015,PP Madrid,Impulsar la competitividad industrial,117,"Impulsaremos acuerdos entre universidades, centros de investigación y empresas, para la mejora de los procesos de investigación y su implantación efectiva en la actividad empresarial."
2015,PP Madrid,Impulsar la competitividad industrial,118,"Impulsaremos la elaboración de medidas estratégicas destinadas a la reindustrialización sostenible, para incrementar el valor añadido de su producción, atraer la inversión, reforzar la internacionalización y dinamizar la I+D+i, la logística y el transporte."
2015,PP Madrid,La nueva agenda de la I+D+i,119,"Fomentaremos líneas de programación conjunta del gasto público en I+D, con mecanismos de gestión y convocatorias coordinados, con criterios de masa crítica y calidad científica, creando sistemas de evaluación conjuntos de los proyectos y los grupos de investigación que armonicen los niveles de calidad a escala nacional."
